epoch, minibatch, validation error, test error,
1,14/14,81.16169544740973,78.02197802197803,
2,14/14,65.93406593406594,56.043956043956044,
3,14/14,30.67503924646782,34.06593406593406,
4,14/14,23.516483516483515,16.959706959706956,
5,14/14,9.827315541601255,12.087912087912088,
6,14/14,9.419152276295133,10.402930402930403,
7,14/14,9.419152276295133,0,
8,14/14,9.419152276295133,0,
9,14/14,9.419152276295133,0,
10,14/14,9.419152276295133,0,
11,14/14,9.419152276295133,0,
12,14/14,9.419152276295133,0,
13,14/14,9.419152276295133,0,
14,14/14,9.419152276295133,0,
15,14/14,9.419152276295133,0,
16,14/14,9.419152276295133,0,
17,14/14,8.88540031397174,21.97802197802198,
18,14/14,8.602825745682887,21.97802197802198,
19,14/14,8.257456828885399,21.97802197802198,
20,14/14,7.566718995290424,21.97802197802198,
21,14/14,7.535321821036107,21.97802197802198,
22,14/14,7.535321821036107,0,
23,14/14,7.535321821036107,0,
24,14/14,7.535321821036107,0,
25,14/14,7.535321821036107,0,
26,14/14,7.535321821036107,0,
27,14/14,7.535321821036107,0,
28,14/14,7.535321821036107,0,
29,14/14,7.535321821036107,0,
30,14/14,7.535321821036107,0,
31,14/14,7.535321821036107,0,
32,14/14,7.535321821036107,0,
33,14/14,7.535321821036107,0,
34,14/14,7.535321821036107,0,
35,14/14,7.535321821036107,0,
36,14/14,7.535321821036107,0,
37,14/14,7.535321821036107,0,
38,14/14,7.535321821036107,0,
39,14/14,7.535321821036107,0,
40,14/14,7.535321821036107,0,
41,14/14,7.535321821036107,0,
42,14/14,7.535321821036107,0,
43,14/14,7.535321821036107,0,
44,14/14,7.535321821036107,0,
45,14/14,7.535321821036107,0,
46,14/14,7.535321821036107,0,
47,14/14,7.535321821036107,0,
48,14/14,7.535321821036107,0,
49,14/14,7.535321821036107,0,
50,14/14,7.535321821036107,0,
51,14/14,7.535321821036107,0,
52,14/14,7.535321821036107,0,
53,14/14,7.535321821036107,0,
54,14/14,7.535321821036107,0,
55,14/14,7.535321821036107,0,
56,14/14,7.535321821036107,0,
57,14/14,7.535321821036107,0,
58,14/14,7.535321821036107,0,
59,14/14,7.535321821036107,0,
60,14/14,7.535321821036107,0,
61,14/14,7.535321821036107,0,
62,14/14,7.535321821036107,0,
63,14/14,7.535321821036107,0,
64,14/14,7.535321821036107,0,
65,14/14,7.535321821036107,0,
66,14/14,7.535321821036107,0,
67,14/14,7.535321821036107,0,
68,14/14,7.535321821036107,0,
69,14/14,7.535321821036107,0,
70,14/14,7.535321821036107,0,
71,14/14,7.535321821036107,0,
72,14/14,7.535321821036107,0,
73,14/14,7.535321821036107,0,
74,14/14,7.535321821036107,0,
75,14/14,7.535321821036107,0,
76,14/14,7.535321821036107,0,
77,14/14,7.535321821036107,0,
78,14/14,7.535321821036107,0,
79,14/14,7.535321821036107,0,
80,14/14,7.535321821036107,0,
81,14/14,7.535321821036107,0,
82,14/14,7.535321821036107,0,
83,14/14,7.535321821036107,0,
84,14/14,7.535321821036107,0,
85,14/14,7.535321821036107,0,
86,14/14,7.535321821036107,0,
87,14/14,7.535321821036107,0,
88,14/14,7.535321821036107,0,
89,14/14,7.535321821036107,0,
90,14/14,7.535321821036107,0,
91,14/14,7.535321821036107,0,
92,14/14,7.535321821036107,0,
93,14/14,7.535321821036107,0,
94,14/14,7.535321821036107,0,
95,14/14,7.535321821036107,0,
96,14/14,7.535321821036107,0,
97,14/14,7.535321821036107,0,
98,14/14,7.535321821036107,0,
99,14/14,7.535321821036107,0,
100,14/14,7.535321821036107,0,
end time = 50227.843435523
